BrokerName,CaseId,BaseCommission,BonusCommission
Emma,1,125,
David,2,125,
Ella,3,125,
Mike,4,125,
Ella,5,125,
Ella,6,125,
Phil,7,125,
Steph,8,125,
Steph,9,125,
David,10,125,
Peter,11,125,
Emmá,12,125,
Stacy,13,125,
Mike,14,125,
Ella,15,125,
Rob,16,125,
Emmá,17,125,
Stacy,18,125,
Steve,19,125,
Ella,20,125,
Ella,21,125,
Dave,22,125,
Ella,23,125,
Emma,24,125,
Paula,25,125,
Dave,26,125,
Paula,27,125,
Ella,28,125,
Stacy,29,125,
Dave,30,125,
Rob,31,125,
Peter,32,125,
Emma,33,125,
Phil,34,125,
Steph,35,125,
Dave,36,125,
Peter,37,125,
Peter,38,125,
Steph,39,125,
Stacy,40,125,
Peter,41,125,
Ella,42,125,
Ella,43,125,
Dave,44,125,
Rob,45,125,
Ella,46,125,
Rob,47,125,
Mike,48,125,
Rob,49,125,
Mike,50,125,
Stacy,51,125,
Phil,52,125,
Stacy,53,125,
Phil,54,125,
Mike,55,125,
Stacy,56,125,
Emma,57,125,
Rob,58,125,
Mike,59,125,
Peter,60,125,
Peter,61,125,
Steve,62,125,
Phil,63,125,
Rob,64,125,
Emma,65,125,
Paula,66,125,
Stacy,67,125,
Dave,68,125,
Rob,69,125,
Dave,70,125,
Paula,71,125,
Steph,72,125,
Ella,73,125,
Rob,74,125,
Ella,75,125,
Rob,76,125,
Phil,77,125,
Steve,78,125,
Ella,79,125,
Emma,80,125,
Mike,81,125,
Steph,82,125,
Rob,83,125,
Peter,84,125,
Ella,85,125,
Phil,86,125,
Ella,87,125,
Phil,88,125,
Peter,89,125,
David,90,125,
Dave,91,125,
Steph,92,125,
Ella,93,125,
Rob,94,125,
Ella,95,125,
Phil,96,125,
Ella,97,125,
Peter,98,125,
Steph,99,125,
Ella,100,125,
Peter,101,125,
Ella,102,125,
Ella,103,125,
Emma,104,125,
Steph,105,125,
Emma,106,125,
Ella,107,125,
Dave,108,125,
Dave,109,125,
Peter,110,125,
Paula,111,125,
Rob,112,125,
Rob,113,125,
Steph,114,125,
Steph,115,125,
Emma,116,125,
Mike,117,125,
Ella,118,125,
Peter,119,125,
Mike,120,125,
Mike,121,125,
Peter,122,125,
Steph,123,125,
Rob,124,125,
Dave,125,125,
Emma,126,125,
Phil,127,125,
Ella,128,125,
Rob,129,125,
Peter,130,125,
Dave,131,125,
Paula,132,125,
Emma,133,125,
Mike,134,125,
Stacy,135,125,
Rob,136,125,
Mike,137,125,
Mike,138,125,
Peter,139,125,
Dave,140,125,
Emma,141,125,
Peter,142,125,
Steph,143,125,
Phil,144,125,
Steph,145,125,
David,146,125,
Dave,147,125,
Ella,148,125,
Paula,149,125,
Stacy,150,125,
Emma,151,125,
Steph,152,125,
Steve,153,125,
Phil,154,125,
Mike,155,125,
Stacy,156,125,
Mike,157,125,
Paula,158,125,
Phil,159,125,
Peter,160,125,
Paula,161,125,
David,162,125,
Dave,163,125,
Rob,164,125,
Steph,165,125,
Peter,166,125,
Steph,167,125,
Steph,168,125,
Rob,169,125,
Paula,170,125,
Peter,171,125,
Phil,172,125,
Dave,173,125,
Phil,174,125,
Rob,175,125,
Ella,176,125,
Ella,177,125,
Rob,178,125,
Emma,179,125,
David,180,125,
Emma,181,125,
Steph,182,125,
Dave,183,125,
Mike,184,125,
Rob,185,125,
Steph,186,125,
Dave,187,125,
Emma,188,125,
Steph,189,125,
David,190,125,
Peter,191,125,
Dave,192,125,
Dave,193,125,
Emma,194,125,
Steve,195,125,
Peter,196,125,
Emma,197,125,
Ella,198,125,
Phil,199,125,
Emma,200,125,
Mike,201,125,
Stacy,202,125,
Stacy,203,125,
Paula,204,125,
Dave,205,125,
Phil,206,125,
David,207,125,
Peter,208,125,
Ella,209,125,
Peter,210,125,
Steph,211,125,
Phil,212,125,
Mike,213,125,
Steph,214,125,
Paula,215,125,
Rob,216,125,
Dave,217,125,
Paula,218,125,
Dave,219,125,
Peter,220,125,
Paula,221,125,
Dave,222,125,
Paula,223,125,
Dave,224,125,
Paula,225,125,
David,226,125,
Ella,227,125,
Peter,228,125,
Emma,229,125,
Ella,230,125,
Emma,231,125,
Mike,232,125,
Emma,233,125,
Ella,234,125,
Peter,235,125,
Emma,236,125,
Dave,237,125,
Steph,238,125,
Phil,239,125,
Rob,240,125,
Paula,241,125,
Dave,242,125,
Paula,243,125,
Ella,244,125,
Steph,245,125,
Dave,246,125,
Steph,247,125,
Peter,248,125,
Steph,249,125,
Dave,250,125,
Phil,251,125,
Dave,252,125,
Dave,253,125,
Stacy,254,125,
Dave,255,125,
Stacy,256,125,
Dave,257,125,
Dave,258,125,
Ella,259,125,
Rob,260,125,
Stacy,261,125,
Paula,262,125,
Rob,263,125,
Ella,264,125,
Ella,265,125,
Stacy,266,125,
David,267,125,
Emma,268,125,
Phil,269,125,
Peter,270,125,
Peter,271,125,
Phil,272,125,
Dave,273,125,
Ella,274,125,
Steve,275,125,
Ella,276,125,
Peter,277,125,
Rob,278,125,
Ella,279,125,
Dave,280,125,
Ella,281,125,
Emma,282,125,
Rob,283,125,
Paula,284,125,
Peter,285,125,
Ella,286,125,
Peter,287,125,
Paula,288,125,
Stacy,289,125,
David,290,125,
Rob,291,125,
Dave,292,125,
Dave,293,125,
Phil,294,125,
Steph,295,125,
Stacy,296,125,
Steph,297,125,
Phil,298,125,
Dave,299,125,
Stacy,300,125,
Rob,301,125,
Rob,302,125,
Dave,303,125,
Ella,304,125,
Ella,305,125,
Stacy,306,125,
Rob,307,125,
Phil,308,125,
Steph,309,125,
Ella,310,125,
Dave,311,125,
Ella,312,125,
Emma,313,125,
Emma,314,125,
Emma,315,125,
Stacy,316,125,
Ella,317,125,
Rob,318,125,
Steph,319,125,
Dave,320,125,
Emma,321,125,
Rob,322,125,
Rob,323,125,
Steph,324,125,
Ella,325,125,
Rob,326,125,
Peter,327,125,
Stacy,328,125,
Emma,329,125,
Rob,330,125,
Steph,331,125,
Phil,332,125,
Mike,333,125,
Emma,334,125,
Dave,335,125,
Paula,336,125,
Peter,337,125,
Emma,338,125,
Ella,339,125,
Steph,340,125,
Peter,341,125,
Rob,342,125,
Phil,343,125,
Peter,344,125,
Ella,345,125,
Phil,346,125,
Steph,347,125,
Emma,348,125,
Peter,349,125,
Ella,350,125,
Mike,351,125,
Rob,352,125,
Rob,353,125,
Ella,354,125,
Stacy,355,125,
Dave,356,125,
Rob,357,125,
Phil,358,125,
David,359,125,
Phil,360,125,
Mike,361,125,
Stacy,362,125,
Phil,363,125,
Paula,364,125,
Rob,365,125,
Ella,366,125,
David,367,125,
Dave,368,125,
David,369,125,
Rob,370,125,
Mike,371,125,
Ella,372,125,
Emma,373,125,
Rob,374,125,
Emma,375,125,
Steph,376,125,
Rob,377,125,
Mike,378,125,
Rob,379,125,
Dave,380,125,
Emma,381,125,
Ella,382,125,
David,383,125,
Rob,384,125,
Peter,385,125,
Emma,386,125,
Emma,387,125,
Rob,388,125,
Steph,389,125,
Phil,390,125,
Ella,391,125,
Dave,392,125,
Phil,393,125,
Ella,394,125,
Peter,395,125,
Peter,396,125,
Steph,397,125,
Ella,398,125,
Ella,399,125,
Dave,400,125,
Ella,401,125,
Mike,402,125,
Mike,403,125,
Steph,404,125,
Emma,405,125,
David,406,125,
Steph,407,125,
Emma,408,125,
Ella,409,125,
Stacy,410,125,
Rob,411,125,
Emma,412,125,
Peter,413,125,
Rob,414,125,
Steph,415,125,
Mike,416,125,
Peter,417,125,
Mike,418,125,
Emma,419,125,
Stacy,420,125,
Mike,421,125,
Steph,422,125,
Peter,423,125,
Rob,424,125,
Phil,425,125,
Ella,426,125,
Ella,427,125,
Emma,428,125,
Phil,429,125,
Ella,430,125,
Rob,431,125,
Ella,432,125,
Mike,433,125,
Steph,434,125,
Ella,435,125,
David,436,125,
Steve,437,125,
Steph,438,125,
Peter,439,125,
Paula,440,125,
Dave,441,125,
Dave,442,125,
Ella,443,125,
Emma,444,125,
Dave,445,125,
Steve,446,125,
Rob,447,125,
Phil,448,125,
Paula,449,125,
Ella,450,125,
Steph,451,125,
Mike,452,125,
Phil,453,125,
Rob,454,125,
Peter,455,125,
Steph,456,125,
Ella,457,125,
Emma,458,125,
Stacy,459,125,
Steve,460,125,
Steph,461,125,
Peter,462,125,
Phil,463,125,
Rob,464,125,
Ella,465,125,
Rob,466,125,
Mike,467,125,
Stacy,468,125,
Peter,469,125,
Emma,470,125,
Ella,471,125,
Stacy,472,125,
Ella,473,125,
Dave,474,125,
Ella,475,125,
David,476,125,
Rob,477,125,
Ella,478,125,
Phil,479,125,
Phil,480,125,
Ella,481,125,
Steve,482,125,
Rob,483,125,
Rob,484,125,
Paula,485,125,
Rob,486,125,
Emma,487,125,
Steph,488,125,
Phil,489,125,
Stacy,490,125,
Dave,491,125,
Paula,492,125,
Ella,493,125,
Rob,494,125,
Peter,495,125,
Rob,496,125,
Dave,497,125,
Ella,498,125,
Steph,499,125,
Paula,500,125,
Ella,501,125,
Ella,502,125,
Steph,503,125,
Ella,504,125,
Phil,505,125,
Stacy,506,125,
Ella,507,125,
Mike,508,125,
Rob,509,125,
Peter,510,125,
Rob,511,125,
Steph,512,125,
Paula,513,125,
Rob,514,125,
Steve,515,125,
Paula,516,125,
Dave,517,125,
Ella,518,125,
Ella,519,125,
Rob,520,125,
Dave,521,125,
Rob,522,125,
Dave,523,125,
Ella,524,125,
Ella,525,125,
Steph,526,125,
Dave,527,125,
Paula,528,125,
Ella,529,125,
Paula,530,125,
Mike,531,125,
Dave,532,125,
Phil,533,125,
Dave,534,125,
David,535,125,
David,536,125,
Paula,537,125,
Phil,538,125,
Ella,539,125,
Steph,540,125,
Emma,541,125,
Rob,542,125,
Phil,543,125,
Dave,544,125,
Steph,545,125,
Ella,546,125,
Stacy,547,125,
Steph,548,125,
Emma,549,125,
Steph,550,125,
Mike,551,125,
Emma,552,125,
Emma,553,125,
Rob,554,125,
Stacy,555,125,
Rob,556,125,
Phil,557,125,
Steph,558,125,
Rob,559,125,
Phil,560,125,
Emma,561,125,
Steph,562,125,
Steve,563,125,
Phil,564,125,
Phil,565,125,
Peter,566,125,
Mike,567,125,
Dave,568,125,
Rob,569,125,
Phil,570,125,
Steph,571,125,
Rob,572,125,
Ella,573,125,
David,574,125,
Phil,575,125,
Peter,576,125,
Steph,577,125,
Emma,578,125,
Steve,579,125,
Ella,580,125,
Ella,581,125,
Ella,582,125,
Ella,583,125,
Dave,584,125,
Steve,585,125,
Ella,586,125,
Paula,587,125,
Peter,588,125,
Phil,589,125,
Emma,590,125,
Steph,591,125,
Ella,592,125,
Ella,593,125,
Dave,594,125,
Rob,595,125,
Phil,596,125,
Stacy,597,125,
Dave,598,125,
Ella,599,125,
Emma,600,125,
Peter,601,125,
David,602,125,
Ella,603,125,
Rob,604,125,
Rob,605,125,
Ella,606,125,
Ella,607,125,
Dave,608,125,
Dave,609,125,
Phil,610,125,
Rob,611,125,
Emma,612,125,
Steph,613,125,
Ella,614,125,
Peter,615,125,
Phil,616,125,
Steve,617,125,
Phil,618,125,
Dave,619,125,
David,620,125,
David,621,125,
Peter,622,125,
Steph,623,125,
Ella,624,125,
Steph,625,125,
Phil,626,125,
Steve,627,125,
Steph,628,125,
Emma,629,125,
Mike,630,125,
Paula,631,125,
Ella,632,125,
Dave,633,125,
Ella,634,125,
Steph,635,125,
Dave,636,125,
Peter,637,125,
Steve,638,125,
Steve,639,125,
Dave,640,125,
Emma,641,125,
Ella,642,125,
Stacy,643,125,
David,644,125,
Ella,645,125,
Steph,646,125,
Stacy,647,125,
Emma,648,125,
Dave,649,125,
Emma,650,125,
Ella,651,125,
Peter,652,125,
Peter,653,125,
Dave,654,125,
Ella,655,125,
Emma,656,125,
Mike,657,125,
Stacy,658,125,
Rob,659,125,
Stacy,660,125,
Paula,661,125,
Steph,662,125,
Stacy,663,125,
Paula,664,125,
Phil,665,125,
Dave,666,125,
Ella,667,125,
Steph,668,125,
Mike,669,125,
