BrokerName,CaseId,BaseCommission,BonusCommission
Emma,1,125,£0
David,2,125,£500
Ella,3,125,£530
Mike,4,125,£20
Ella,5,125,£450
Ella,6,125,£240
Phil,7,125,£800
Steph,8,125,£50
Steph,9,125,£530
David,10,125,£850
Peter,11,125,£600
Emmá,12,125,£60
Stacy,13,125,£30
Mike,14,125,£250
Ella,15,125,£560
Rob,16,125,£330
Emmá,17,125,£0
Stacy,18,125,£200
Steve,19,125,£0
Ella,20,125,£0
Ella,21,125,£720
Dave,22,125,£110
Ella,23,125,£790
Emma,24,125,£0
Paula,25,125,£150
Dave,26,125,£100
Paula,27,125,£20
Ella,28,125,£380
Stacy,29,125,£310
Dave,30,125,£210
Rob,31,125,£690
Peter,32,125,£880
Emma,33,125,£0
Phil,34,125,£670
Steph,35,125,£670
Dave,36,125,£360
Peter,37,125,£620
Peter,38,125,£400
Steph,39,125,£10
Stacy,40,125,£0
Peter,41,125,£410
Ella,42,125,£610
Ella,43,125,£0
Dave,44,125,£320
Rob,45,125,£490
Ella,46,125,£30
Rob,47,125,£120
Mike,48,125,£150
Rob,49,125,£530
Mike,50,125,£270
Stacy,51,125,£0
Phil,52,125,£110
Stacy,53,125,£480
Phil,54,125,£500
Mike,55,125,£260
Stacy,56,125,£0
Emma,57,125,£80
Rob,58,125,£20
Mike,59,125,£0
Peter,60,125,£800
Peter,61,125,£690
Steve,62,125,£0
Phil,63,125,£280
Rob,64,125,£890
Emma,65,125,£0
Paula,66,125,£240
Stacy,67,125,£420
Dave,68,125,£210
Rob,69,125,£500
Dave,70,125,£260
Paula,71,125,£410
Steph,72,125,£660
Ella,73,125,£490
Rob,74,125,£530
Ella,75,125,£740
Rob,76,125,£820
Phil,77,125,£200
Steve,78,125,£0
Ella,79,125,£170
Emma,80,125,£0
Mike,81,125,£70
Steph,82,125,£220
Rob,83,125,£120
Peter,84,125,£100
Ella,85,125,£530
Phil,86,125,£340
Ella,87,125,£190
Phil,88,125,£670
Peter,89,125,£670
David,90,125,£830
Dave,91,125,£460
Steph,92,125,£90
Ella,93,125,£190
Rob,94,125,£620
Ella,95,125,£0
Phil,96,125,£420
Ella,97,125,£670
Peter,98,125,£870
Steph,99,125,£40
Ella,100,125,£60
Peter,101,125,£260
Ella,102,125,£470
Ella,103,125,£760
Emma,104,125,£70
Steph,105,125,£490
Emma,106,125,£10
Ella,107,125,£420
Dave,108,125,£40
Dave,109,125,£50
Peter,110,125,£630
Paula,111,125,£440
Rob,112,125,£600
Rob,113,125,£390
Steph,114,125,£520
Steph,115,125,£450
Emma,116,125,£0
Mike,117,125,£100
Ella,118,125,£710
Peter,119,125,£420
Mike,120,125,£70
Mike,121,125,£90
Peter,122,125,£830
Steph,123,125,£480
Rob,124,125,£390
Dave,125,125,£370
Emma,126,125,£40
Phil,127,125,£460
Ella,128,125,£560
Rob,129,125,£430
Peter,130,125,£0
Dave,131,125,£180
Paula,132,125,£270
Emma,133,125,£50
Mike,134,125,£130
Stacy,135,125,£180
Rob,136,125,£630
Mike,137,125,£150
Mike,138,125,£210
Peter,139,125,£510
Dave,140,125,£240
Emma,141,125,£0
Peter,142,125,£450
Steph,143,125,£110
Phil,144,125,£450
Steph,145,125,£150
David,146,125,£780
Dave,147,125,£310
Ella,148,125,£630
Paula,149,125,£480
Stacy,150,125,£0
Emma,151,125,£10
Steph,152,125,£70
Steve,153,125,£0
Phil,154,125,£380
Mike,155,125,£210
Stacy,156,125,£450
Mike,157,125,£210
Paula,158,125,£310
Phil,159,125,£300
Peter,160,125,£140
Paula,161,125,£370
David,162,125,£130
Dave,163,125,£10
Rob,164,125,£400
Steph,165,125,£350
Peter,166,125,£0
Steph,167,125,£660
Steph,168,125,£650
Rob,169,125,£130
Paula,170,125,£140
Peter,171,125,£310
Phil,172,125,£890
Dave,173,125,£200
Phil,174,125,£770
Rob,175,125,£620
Ella,176,125,£670
Ella,177,125,£130
Rob,178,125,£240
Emma,179,125,£0
David,180,125,£0
Emma,181,125,£0
Steph,182,125,£30
Dave,183,125,£440
Mike,184,125,£0
Rob,185,125,£870
Steph,186,125,£630
Dave,187,125,£370
Emma,188,125,£0
Steph,189,125,£10
David,190,125,£670
Peter,191,125,£130
Dave,192,125,£310
Dave,193,125,£380
Emma,194,125,£0
Steve,195,125,£0
Peter,196,125,£30
Emma,197,125,£0
Ella,198,125,£0
Phil,199,125,£620
Emma,200,125,£0
Mike,201,125,£0
Stacy,202,125,£490
Stacy,203,125,£90
Paula,204,125,£240
Dave,205,125,£40
Phil,206,125,£390
David,207,125,£250
Peter,208,125,£760
Ella,209,125,£780
Peter,210,125,£390
Steph,211,125,£470
Phil,212,125,£870
Mike,213,125,£30
Steph,214,125,£70
Paula,215,125,£40
Rob,216,125,£590
Dave,217,125,£470
Paula,218,125,£380
Dave,219,125,£180
Peter,220,125,£560
Paula,221,125,£490
Dave,222,125,£110
Paula,223,125,£250
Dave,224,125,£240
Paula,225,125,£110
David,226,125,£330
Ella,227,125,£250
Peter,228,125,£470
Emma,229,125,£0
Ella,230,125,£560
Emma,231,125,£0
Mike,232,125,£50
Emma,233,125,£30
Ella,234,125,£680
Peter,235,125,£610
Emma,236,125,£0
Dave,237,125,£380
Steph,238,125,£480
Phil,239,125,£780
Rob,240,125,£170
Paula,241,125,£0
Dave,242,125,£390
Paula,243,125,£270
Ella,244,125,£670
Steph,245,125,£160
Dave,246,125,£0
Steph,247,125,£390
Peter,248,125,£0
Steph,249,125,£490
Dave,250,125,£430
Phil,251,125,£330
Dave,252,125,£0
Dave,253,125,£150
Stacy,254,125,£330
Dave,255,125,£300
Stacy,256,125,£180
Dave,257,125,£480
Dave,258,125,£330
Ella,259,125,£0
Rob,260,125,£690
Stacy,261,125,£60
Paula,262,125,£250
Rob,263,125,£780
Ella,264,125,£420
Ella,265,125,£290
Stacy,266,125,£480
David,267,125,£170
Emma,268,125,£50
Phil,269,125,£40
Peter,270,125,£0
Peter,271,125,£110
Phil,272,125,£240
Dave,273,125,£240
Ella,274,125,£150
Steve,275,125,£30
Ella,276,125,£0
Peter,277,125,£210
Rob,278,125,£320
Ella,279,125,£670
Dave,280,125,£320
Ella,281,125,£630
Emma,282,125,£0
Rob,283,125,£0
Paula,284,125,£370
Peter,285,125,£400
Ella,286,125,£670
Peter,287,125,£220
Paula,288,125,£290
Stacy,289,125,£0
David,290,125,£810
Rob,291,125,£140
Dave,292,125,£290
Dave,293,125,£240
Phil,294,125,£700
Steph,295,125,£0
Stacy,296,125,£140
Steph,297,125,£380
Phil,298,125,£310
Dave,299,125,£70
Stacy,300,125,£250
Rob,301,125,£380
Rob,302,125,£30
Dave,303,125,£330
Ella,304,125,£90
Ella,305,125,£470
Stacy,306,125,£0
Rob,307,125,£590
Phil,308,125,£160
Steph,309,125,£30
Ella,310,125,£350
Dave,311,125,£0
Ella,312,125,£30
Emma,313,125,£0
Emma,314,125,£0
Emma,315,125,£0
Stacy,316,125,£250
Ella,317,125,£550
Rob,318,125,£650
Steph,319,125,£40
Dave,320,125,£0
Emma,321,125,£0
Rob,322,125,£280
Rob,323,125,£260
Steph,324,125,£0
Ella,325,125,£150
Rob,326,125,£260
Peter,327,125,£660
Stacy,328,125,£340
Emma,329,125,£0
Rob,330,125,£220
Steph,331,125,£280
Phil,332,125,£380
Mike,333,125,£140
Emma,334,125,£0
Dave,335,125,£320
Paula,336,125,£220
Peter,337,125,£70
Emma,338,125,£70
Ella,339,125,£600
Steph,340,125,£310
Peter,341,125,£680
Rob,342,125,£240
Phil,343,125,£30
Peter,344,125,£80
Ella,345,125,£240
Phil,346,125,£200
Steph,347,125,£320
Emma,348,125,£0
Peter,349,125,£240
Ella,350,125,£80
Mike,351,125,£190
Rob,352,125,£560
Rob,353,125,£630
Ella,354,125,£150
Stacy,355,125,£320
Dave,356,125,£330
Rob,357,125,£420
Phil,358,125,£150
David,359,125,£470
Phil,360,125,£820
Mike,361,125,£0
Stacy,362,125,£90
Phil,363,125,£0
Paula,364,125,£50
Rob,365,125,£740
Ella,366,125,£680
David,367,125,£380
Dave,368,125,£100
David,369,125,£530
Rob,370,125,£40
Mike,371,125,£0
Ella,372,125,£610
Emma,373,125,£0
Rob,374,125,£0
Emma,375,125,£0
Steph,376,125,£30
